Time,Transmembrane_potential
1.27,-77.41258684751092
1.28,-77.41258684751092
1.29,-77.41258684751092
1.3,-77.41258684751092
1.31,-77.41258684751092
1.32,-77.41258684751092
1.33,-77.41258684751092
1.34,-77.41258684751092
1.35,-77.41258684751092
1.36,-77.41258684751092
1.37,-77.41258684751092
1.3800000000000001,-77.41258684751092
1.3900000000000001,-77.41258684751092
1.4000000000000001,-77.41258684751092
1.41,-77.41258684751092
1.42,-77.41258684751092
1.43,-77.41258684751092
1.44,-77.41258684751092
1.45,-77.41258684751092
1.46,-77.41258684751092
1.47,-77.41258684751092
1.48,-77.41258684751092
1.49,-77.41258684751092
1.5,-77.41258684751092
1.51,-67.10430612528866
1.52,-67.10430612528866
1.53,-67.10430612528866
1.54,-67.10430612528866
1.55,-67.10430612528866
1.56,-67.10430612528866
1.57,-67.10430612528866
1.58,-67.10430612528866
1.59,-67.10430612528866
1.6,-67.10430612528866
1.61,-67.10430612528866
1.62,-67.10430612528866
1.6300000000000001,-67.10430612528866
1.6400000000000001,-67.10430612528866
1.6500000000000001,-67.10430612528866
1.6600000000000001,-67.10430612528866
1.67,-67.10430612528866
1.68,-67.10430612528866
1.69,-67.10430612528866
1.7,-67.10430612528866
1.71,-67.10430612528866
1.72,-67.10430612528866
1.73,-67.10430612528866
1.74,-67.10430612528866
1.75,-67.10430612528866
1.76,-67.10430612528866
1.77,-67.10430612528866
1.78,-67.10430612528866
1.79,-67.10430612528866
1.8,-67.10430612528866
1.81,-67.10430612528866
1.82,-67.10430612528866
1.83,-67.10430612528866
1.84,-67.10430612528866
1.85,-67.10430612528866
1.86,-67.10430612528866
1.87,-67.10430612528866
1.8800000000000001,-67.10430612528866
1.8900000000000001,-67.10430612528866
1.9000000000000001,-67.10430612528866
1.9100000000000001,-67.10430612528866
1.92,-67.10430612528866
1.93,-67.10430612528866
1.94,-67.10430612528866
1.95,-67.10430612528866
1.96,-67.10430612528866
1.97,-67.10430612528866
1.98,-67.10430612528866
1.99,-67.10430612528866
2.0,-67.10430612528866
2.0100000000000002,-67.10430612528866
2.02,-67.10430612528866
2.0300000000000002,-67.10430612528866
2.04,-67.10430612528866
2.05,-67.10430612528866
2.06,-67.10430612528866
2.07,-67.10430612528866
2.08,-67.10430612528866
2.09,-67.10430612528866
2.1,-67.10430612528866
2.11,-67.10430612528866
2.12,-67.10430612528866
2.13,-67.10430612528866
2.14,-67.10430612528866
2.15,-67.10430612528866
2.16,-67.10430612528866
2.17,-67.10430612528866
2.18,-67.10430612528866
2.19,-67.10430612528866
2.2,-67.10430612528866
2.21,-67.10430612528866
2.22,-67.10430612528866
2.23,-67.10430612528866
2.24,-67.10430612528866
2.25,-67.10430612528866
2.2600000000000002,-67.10430612528866
2.27,-67.10430612528866
2.2800000000000002,-67.10430612528866
2.29,-67.10430612528866
2.3000000000000003,-67.10430612528866
2.31,-67.10430612528866
2.32,-67.10430612528866
2.33,-67.10430612528866
2.34,-67.10430612528866
2.35,-67.10430612528866
2.36,-67.10430612528866
2.37,-67.10430612528866
2.38,-67.10430612528866
2.39,-67.10430612528866
2.4,-67.10430612528866
2.41,-67.10430612528866
2.42,-67.10430612528866
2.43,-67.10430612528866
2.44,-67.10430612528866
2.45,-67.10430612528866
2.46,-67.10430612528866
2.47,-67.10430612528866
2.48,-67.10430612528866
2.49,-67.10430612528866
2.5,-67.10430612528866
2.5100000000000002,-20.61487391901152
2.52,-20.61487391901152
2.5300000000000002,-20.61487391901152
2.54,-20.61487391901152
2.5500000000000003,-20.61487391901152
2.56,-20.61487391901152
2.57,-20.61487391901152
2.58,-20.61487391901152
2.59,-20.61487391901152
2.6,-20.61487391901152
2.61,-20.61487391901152
2.62,-20.61487391901152
2.63,-20.61487391901152
2.64,-20.61487391901152
2.65,-20.61487391901152
2.66,-20.61487391901152
2.67,-20.61487391901152
2.68,-20.61487391901152
2.69,-20.61487391901152
2.7,-20.61487391901152
2.71,-20.61487391901152
2.72,-20.61487391901152
2.73,-20.61487391901152
2.74,-20.61487391901152
2.75,-20.61487391901152
2.7600000000000002,-20.61487391901152
2.77,-20.61487391901152
2.7800000000000002,-20.61487391901152
2.79,-20.61487391901152
2.8000000000000003,-20.61487391901152
2.81,-20.61487391901152
2.82,-20.61487391901152
2.83,-20.61487391901152
2.84,-20.61487391901152
2.85,-20.61487391901152
2.86,-20.61487391901152
2.87,-20.61487391901152
2.88,-20.61487391901152
2.89,-20.61487391901152
2.9,-20.61487391901152
2.91,-20.61487391901152
2.92,-20.61487391901152
2.93,-20.61487391901152
2.94,-20.61487391901152
2.95,-20.61487391901152
2.96,-20.61487391901152
2.97,-20.61487391901152
2.98,-20.61487391901152
2.99,-20.61487391901152
3.0,-20.61487391901152
3.0100000000000002,-20.575364969011513
3.02,-20.575364969011513
3.0300000000000002,-20.575364969011513
3.04,-20.575364969011513
3.0500000000000003,-20.575364969011513
3.06,-20.575364969011513
3.0700000000000003,-20.575364969011513
3.08,-20.575364969011513
3.09,-20.575364969011513
3.1,-20.575364969011513
3.11,-20.575364969011513
3.12,-20.575364969011513
3.13,-20.575364969011513
3.14,-20.575364969011513
3.15,-20.575364969011513
3.16,-20.575364969011513
3.17,-20.575364969011513
3.18,-20.575364969011513
3.19,-20.575364969011513
3.2,-20.575364969011513
3.21,-20.575364969011513
3.22,-20.575364969011513
3.23,-20.575364969011513
3.24,-20.575364969011513
3.25,-20.575364969011513
3.2600000000000002,-20.575364969011513
3.27,-20.575364969011513
3.2800000000000002,-20.575364969011513
3.29,-20.575364969011513
3.3000000000000003,-20.575364969011513
3.31,-20.575364969011513
3.3200000000000003,-20.575364969011513
3.33,-20.575364969011513
3.34,-20.575364969011513
3.35,-20.575364969011513
3.36,-20.575364969011513
3.37,-20.575364969011513
3.38,-20.575364969011513
3.39,-20.575364969011513
3.4,-20.575364969011513
3.41,-20.575364969011513
3.42,-20.575364969011513
3.43,-20.575364969011513
3.44,-20.575364969011513
3.45,-20.575364969011513
3.46,-20.575364969011513
3.47,-20.575364969011513
3.48,-20.575364969011513
3.49,-20.575364969011513
3.5,-20.575364969011513
3.5100000000000002,-14.319187507587788
3.52,-14.319187507587788
3.5300000000000002,-14.319187507587788
3.54,-14.319187507587788
3.5500000000000003,-14.319187507587788
3.56,-14.319187507587788
3.5700000000000003,-14.319187507587788
3.58,-14.319187507587788
3.59,-14.319187507587788
3.6,-14.319187507587788
3.61,-14.319187507587788
3.62,-14.319187507587788
3.63,-14.319187507587788
3.64,-14.319187507587788
3.65,-14.319187507587788
3.66,-14.319187507587788
3.67,-14.319187507587788
3.68,-14.319187507587788
3.69,-14.319187507587788
3.7,-14.319187507587788
3.71,-14.319187507587788
3.72,-14.319187507587788
3.73,-14.319187507587788
3.74,-14.319187507587788
3.75,-14.319187507587788
3.7600000000000002,-14.319187507587788
3.77,-14.319187507587788
3.7800000000000002,-14.319187507587788
3.79,-14.319187507587788
3.8000000000000003,-14.319187507587788
3.81,-14.319187507587788
3.8200000000000003,-14.319187507587788
3.83,-14.319187507587788
3.84,-14.319187507587788
3.85,-14.319187507587788
3.86,-14.319187507587788
3.87,-14.319187507587788
3.88,-14.319187507587788
3.89,-14.319187507587788
3.9,-14.319187507587788
3.91,-14.319187507587788
3.92,-14.319187507587788
3.93,-14.319187507587788
3.94,-14.319187507587788
3.95,-14.319187507587788
3.96,-14.319187507587788
3.97,-14.319187507587788
3.98,-14.319187507587788
3.99,-14.319187507587788
4.0,-14.319187507587788
4.01,-14.12149550520684
4.0200000000000005,-14.12149550520684
4.03,-14.12149550520684
4.04,-14.12149550520684
4.05,-14.12149550520684
4.0600000000000005,-14.12149550520684
4.07,-14.12149550520684
4.08,-14.12149550520684
4.09,-14.12149550520684
4.1,-14.12149550520684
4.11,-14.12149550520684
4.12,-14.12149550520684
4.13,-14.12149550520684
4.14,-14.12149550520684
4.15,-14.12149550520684
4.16,-14.12149550520684
4.17,-14.12149550520684
4.18,-14.12149550520684
4.19,-14.12149550520684
4.2,-14.12149550520684
4.21,-14.12149550520684
4.22,-14.12149550520684
4.23,-14.12149550520684
4.24,-14.12149550520684
4.25,-14.12149550520684
4.26,-14.12149550520684
4.2700000000000005,-14.12149550520684
4.28,-14.12149550520684
4.29,-14.12149550520684
4.3,-14.12149550520684
4.3100000000000005,-14.12149550520684
4.32,-14.12149550520684
4.33,-14.12149550520684
4.34,-14.12149550520684
4.3500000000000005,-14.12149550520684
4.36,-14.12149550520684
4.37,-14.12149550520684
4.38,-14.12149550520684
4.39,-14.12149550520684
4.4,-14.12149550520684
4.41,-14.12149550520684
4.42,-14.12149550520684
4.43,-14.12149550520684
4.44,-14.12149550520684
4.45,-14.12149550520684
4.46,-14.12149550520684
4.47,-14.12149550520684
4.48,-14.12149550520684
4.49,-14.12149550520684
4.5,-14.12149550520684
4.51,-13.824414362037036
4.5200000000000005,-13.824414362037036
4.53,-13.824414362037036
4.54,-13.824414362037036
4.55,-13.824414362037036
4.5600000000000005,-13.824414362037036
4.57,-13.824414362037036
4.58,-13.824414362037036
4.59,-13.824414362037036
4.6000000000000005,-13.824414362037036
4.61,-13.824414362037036
4.62,-13.824414362037036
4.63,-13.824414362037036
4.64,-13.824414362037036
4.65,-13.824414362037036
4.66,-13.824414362037036
4.67,-13.824414362037036
